#variation; average eval-cost in ms; average init-cost in ms; average eval-memory in KB; average init-memory in KB; had eval-error; had init-error
glsl_hyperbolictile; 0.00062906; 0.00142899; 1.6384; 20.48; false; false
truchet2; 0.00062829; 0.001596; 0.8192; 20.48; false; false
hypertile3D1; 0.00062806; 0.002828; 0.6146; 5.56921875; false; false
anamorphcyl; 0.00062763; 0.00183; 0.6146; 20.48; false; false
ripple; 0.00062753; 0.002405; 1.0242; 5.56921875; false; false
pTransform; 0.00062726; 0.001687; 0.8192; 20.48; false; false
swirl3; 0.00062702; 0.00140901; 0.4096; 20.48; false; false
glsl_code; 0.00062675; 0.540855; 1.2288; 184.34; false; false
post_mirror_wf; 0.00062643; 0.00230601; 1.2288; 1.54109375; false; false
log_tile2; 0.00062615; 0.00152799; 0.6146; 20.48; false; false
eJulia; 0.0006245; 0.00189801; 0.6146; 5.56921875; false; false
target; 0.00062382; 0.00157299; 0.6146; 5.56921875; false; false
pre_falloff3; 0.00062339; 0.00169899; 1.4338; 4.71203125; false; false
oroundcone3D; 0.00062171; 0.001989; 1.6384; 20.48; false; false
pre_wave3D_wf; 0.00062009; 0.00186699; 1.0242; 1.54109375; false; false
bCollide; 0.00061972; 0.002007; 0.6146; 5.56921875; false; false
target_sp; 0.000614; 0.00154999; 0.6146; 12.96695312; false; false
pre_circlecrop; 0.00061181; 0.00162801; 0.8192; 1.54109375; false; false
whorl; 0.00061121; 0.00165601; 0.6146; 1.54109375; false; false
seashell3D; 0.00061078; 0.00157001; 0.8192; 20.48; false; false
post_dcztransl; 0.00060944; 0.002336; 0.6146; 5.56921875; false; false
parallel; 0.000609; 0.003295; 1.4338; 20.48; false; false
cone3D; 0.00060778; 0.001436; 1.0242; 20.48; false; false
pixel_flow; 0.00060749; 0.00146599; 0.6146; 20.48; false; false
cut_jigsaw; 0.00060584; 0.001891; 1.2288; 20.48; false; false
lorenz_js; 0.00060374; 0.002128; 1.0242; 20.48; false; false
crop_rhombus; 0.00060312; 0.00133801; 0.8192; 20.48; false; false
julia3Dq; 0.00059954; 0.00163101; 0.6146; 4.77367187; false; false
blocky; 0.00059695; 0.001375; 0.6146; 5.56921875; false; false
sym_ng16; 0.00059579; 0.00153901; 0.8192; 20.48; false; false
cut_vasarely; 0.00059541; 0.001397; 0.6146; 20.48; false; false
cut_triskel; 0.0005891; 0.00199099; 1.0242; 20.48; false; false
affine3D; 0.00058882; 0.00203401; 1.8434; 20.48; false; false
cardioid; 0.00058722; 0.00166901; 0.4096; 20.48; false; false
