#variation; average eval-cost in ms; average init-cost in ms; average eval-memory in KB; average init-memory in KB; had eval-error; had init-error
parplot2d_wf; 0.00078437; 0.29573682; 1.45921; 13.48223333; false; false
exp2_bs; 0.00078165; 0.00059998; 0.54272; 0.54613333; false; false
post_falloff2; 0.00078062; 0.00065532; 1.05985; 0.24943047; false; false
waffle; 0.00077974; 0.00110331; 0.58881; 0.59673411; false; false
eSwirl; 0.00077951; 0.00057764; 0.58881; 0.59824479; false; false
loonie2; 0.00077483; 0.00062224; 0.47104; 0.47786667; false; false
pre_custom_wf; 0.00077372; 0.00068942; 0.8704; 0.05954635; false; false
ripple; 0.0007728; 0.00069563; 0.91649; 0.30451563; false; false
post_displacemap_wf; 0.00077269; 0.00521182; 0.94208; 2.62924062; false; false
ztwister; 0.00077267; 0.00051437; 0.45056; 0.46985885; false; false
bwrands; 0.00077143; 0.00103649; 1.19808; 1.2216901; false; false
julia3Dz; 0.00077043; 0.00139933; 0.49665; 0.49411953; false; false
post_juliaq; 0.00076977; 0.00049097; 0.39936; 0.4057901; false; false
post_bwraps2; 0.00076949; 0.00074183; 0.70656; 0.71378125; false; false
radial_blur; 0.00076924; 0.00055126; 0.37888; 0.38782839; false; false
pre_rect_wf; 0.00076755; 0.00059525; 0.6144; 0.6144; false; false
pointgrid3d_wf; 0.00076616; 0.00130883; 1.10592; 1.12646667; false; false
pie; 0.00076596; 0.00053978; 0.54272; 0.54056901; false; false
escher; 0.00076382; 0.00050847; 0.37888; 0.37719089; false; false
devil_warp; 0.00076381; 0.00063793; 0.77824; 0.78108958; false; false
julia3Dq; 0.00076378; 0.00056677; 0.54272; 0.54266302; false; false
plusrecip; 0.000762; 0.00080441; 0.4608; 0.47786667; false; false
lazysusan; 0.00075954; 0.0007224; 0.70656; 0.0920474; false; false
eMod; 0.00075597; 0.00069235; 0.58881; 0.59605625; false; false
primitives_wf; 0.00075581; 0.00068868; 0.6144; 0.6144; false; false
squirrel; 0.0007556; 0.00051813; 0.45056; 0.46809167; false; false
tile_log; 0.00075542; 0.00049498; 0.37888; 0.37553333; false; false
klein_group; 0.00075226; 0.0024286; 0.69121; 2.79893333; false; false
pre_boarders2; 0.00075059; 0.00058291; 0.54272; 0.54108385; false; false
glynnSim1; 0.00074996; 0.00149919; 0.94208; 0.26619948; false; false
xheart_blur_wf; 0.00074979; 0.00090669; 0.45056; 0.46724219; false; false
tan2_bs; 0.00074965; 0.00067011; 0.6144; 0.6144; false; false
post_curl3D; 0.00074665; 0.00065441; 0.70656; 0.71344479; false; false
hypershift; 0.00074556; 0.00053047; 0.45056; 0.47786667; false; false
henon; 0.00074529; 0.00094281; 0.54272; 0.54613333; false; false
post_zscale_wf; 0.00074496; 0.00048774; 0.37888; 0.3877151; false; false
spherical3D_wf; 0.00074393; 0.00074864; 0.58881; 0.59244844; false; false
disc3; 0.00074389; 0.00075146; 0.94208; 0.95573333; false; false
blur_zoom; 0.00074122; 0.0005597; 0.54272; 0.54613333; false; false
ho; 0.00074015; 0.00053907; 0.54272; 0.54167109; false; false
circular2; 0.00073734; 0.00066804; 0.6144; 0.6144; false; false
pre_bwraps2; 0.00073721; 0.00061411; 0.70656; 0.71360937; false; false
lissajous; 0.00073533; 0.00069685; 0.8704; 0.86941823; false; false
post_custom_wf; 0.00073336; 0.00071361; 0.8704; 0.88746667; false; false
parabola; 0.00073187; 0.0005791; 0.45056; 0.45671901; false; false
tanh2_bs; 0.00073182; 0.00059384; 0.6144; 0.6144; false; false
